,keywords,title,scores
26,"['virus', 'recovering', 'work', 'secretary', 'coronavirus', 'boris', 'worsened', 'uk', 'worst', 'johnson', 'covid19', 'returns']",UK PM Boris Johnson returns to work after recovering from virus,0.9482758620689655
27,"['khanna', 'urban', 'rural', 'tweets', 'sets', 'bhishma', 'mythological', 'mahabharat', 'fans', 'television', 'scene', 'cooler', 'recent', 'spot', 'aka', 'viewers', 'pitamah', 'mukesh']",Fans spot 'cooler' behind Bhishma Pitamah aka Mukesh Khanna in 'Mahabharat',0.1206896551724138
28,"['wrong', 'pandemic', 'statement', 'cup', 'tea', 'parents', 'post', 'shares', 'warm', 'lucknow', 'tested', 'uk', 'kanika', 'issuing', 'covid19', 'kapoor']",Kanika Kapoor shares a glimpse of enjoying a 'warm cup of tea' with parents in Lucknow after issuing statement amid coronavirus pandemic,0.4827586206896552
29,"['popular', 'message', 'world', 'warriors', 'enjoy', 'past', 'google', 'stay', 'doodles', 'googles', 'workers', 'doodle', 'replaying', 'week', 'covid19', 'games']",Popular Google Doodle Games: Google's stay home message during Covid-19: Enjoy popular doodles from the past,0.41379310344827586
30,"['mumbaisource', 'mumbai', 'cured', 'warriors', 'welcome', 'tnnas', 'prey', 'journalist', 'grand', 'pandemic', 'gets', 'virus']",Cured journalist gets a grand welcome in Mumbai,0.2413793103448276
31,"['midapril', 'crore', 'latest', 'food', 'court', 'camps', 'relief', 'lakh', 'filed', 'report', 'workers', 'doubled', 'dependent', 'centres', 'union', 'lockdown']",Centre’s latest report on lockdown says people dependent on relief camps doubled by mid-April,0.39655172413793105
32,"['india', '872', 'health', 'number', 'total', 'points', 'maharashtra', '27000mark', 'union', 'cases', 'lockdown', 'covid19', 'deaths', 'cross', 'coronavirus']","Coronavirus cases in India cross 27,000-mark, 872 deaths: 10 points",1.0
33,"['yuvraj', 'pa', 'dhoni', 'bumrah', 'asking', 'corners', 'kohli', 'answer', 'jasprit', 'question', 'better', 'tendulkar', 'rapidfire', 'singh', 'questions']",Kohli or Tendulkar? Yuvraj or Dhoni? Yuvraj Singh corners Jasprit Bumrah with rapid-fire questions,0.034482758620689655
34,"['crore', 'stressed', 'lauds', 'funds', 'rbi', 'rs', 'p', 'facility', 'mutual', 'cong', 'support', 'prompt', 'leader', 'rbis', 'chidambaram', 'liquidity', 'special', 'days']",Cong leader Chidambaram lauds RBI’s prompt action to support stressed mutual funds,0.2413793103448276
35,"['media', 'rumours', 'north', 'korea', 'jong', 'report', 'workers', 'kim', 'wished', 'leader', 'korean', 'tourist', 'sent', 'south', 'spot']","Kim Jong Un wished workers building North Korean tourist spot, claims report amid rumours of his death",0.3275862068965517
36,"['toll', 'virus', 'reports', 'scientific', 'sage', 'daily', 'increase', 'weeks', 'boris', 'lowest', 'lockdown', 'uk', 'rules', 'officials', 'johnson', 'reported', 'returns']",UK reports lowest virus toll in weeks as PM Boris Johnson returns,0.7068965517241379
37,"['galgotias', 'virtual', 'technologies', 'provided', 'students', 'university', 'times', 'faculty', 'learning', 'ahead', 'covid19', 'keeping', 'online']",How this university is keeping its students ahead in the times of COVID-19,0.4482758620689655
38,"['covid19', 'bank', 'stressed', 'funds', 'noted', 'mutual', 'points', 'green', 'support', 'sensex', 'lockdown', 'nifty', 'fund', 'fresh', 'rbis', 'trading', 'investors', 'surge']","Sensex, Nifty surge over 2% after RBI's fresh support for stressed mutual funds",0.6724137931034483
39,"['rumours', 'north', 'death', 'korea', 'leaders', 'jong', 'yo', 'shuts', 'uns', 'kim', 'health', 'korean', 'south']",Kim Jong Un alive and well: South Korea shuts down rumours over North Korean leader’s death,0.27586206896551724
40,"['killed', 'kulgam', 'operation', 'militants', 'encounter', 'team', 'lower', 'joint', 'search', 'forces', 'kashmir', 'jammu']",3 militants killed in Kulgam encounter in Jammu and Kashmir,0.0
41,"['covid19', 'amid', 'rajasthan', 'students', 'reach', 'bus', 'assam', 'state', 'quarantine', 'quarantined', 'sarma', '391', 'lockdown', 'journey', 'kota', 'minister']","391 students reach Assam from Kota by bus amid lockdown, quarantined",0.5689655172413793
42,"['toll', 'records', 'death', 'health', 'positive', 'coronavirus', 'points', 'race', 'lowest', 'global', 'cases', 'recorded', 'uk', 'months', 'reported', 'gear', 'deaths', 'virus']",UK records month's lowest daily Covid-19 toll; Africa behind in global race for virus gear: 10 points,0.8620689655172413
43,"['govt', 'sectors', 'allow', 'package', 'suspension', 'pay', 'gst', 'relief', 'report', 'system', 'lockdown', 'need', 'covid19', 'worsthit', '6month', 'firms', 'coronavirus']","Coronavirus: Govt may allow up to 6-month suspension on GST for worst-hit sectors, says report",0.7931034482758621
44,"['indore', 'virus', 'department', 'madhya', 'positive', 'coronavirus', 'pradesh', 'tested', 'cases', 'traced', 'spread', 'inquiry', 'health', 'travelled', 'officer', 'dept']",Madhya Pradesh health dept coronavirus cases traced to officer who travelled in bus from Indore,0.6206896551724138
45,"['declaration', 'state', 'coalition', 'saudiled', 'yemen', 'rejects', 'separatists', 'selfrule', 'southern', 'riyadh', 'south', 'agreement', 'war']",Saudi-led coalition rejects south Yemen self-rule declaration,0.3103448275862069
46,"['country', 'technology', 'build', 'teach', 'students', 'shall', 'industry', '300', 'leaders', 'cr', 'masters', 'union', 'school', 'unique', 'commit', 'business', 'minds', 'inr']",Top business minds from around the country commit INR 300 Cr to build a unique business school,0.1896551724137931
